compound,mesocosm,cow,beetle,treatment,flux
CH4,35,1,Absent,Antibiotic,2046.879904
CH4,76,1,Absent,Antibiotic,2709.84375
CH4,40,1,Present,Antibiotic,1168.944944
CH4,57,1,Present,Antibiotic,1835.367122
CO2,35,1,Absent,Antibiotic,1002740.292
CO2,76,1,Absent,Antibiotic,1362678.723
CO2,40,1,Present,Antibiotic,1085180.526
CO2,57,1,Present,Antibiotic,1353584.363
N2O,35,1,Absent,Antibiotic,77.02344884
N2O,76,1,Absent,Antibiotic,175.2143381
N2O,40,1,Present,Antibiotic,138.9742995
N2O,57,1,Present,Antibiotic,159.6163174
CH4,68,2,Absent,Antibiotic,1997.927899
CH4,79,2,Absent,Antibiotic,2172.214807
CH4,38,2,Present,Antibiotic,1329.55108
CH4,69,2,Present,Antibiotic,1624.323873
CO2,68,2,Absent,Antibiotic,1075872.053
CO2,79,2,Absent,Antibiotic,1018622.907
CO2,38,2,Present,Antibiotic,869257.4452
CO2,69,2,Present,Antibiotic,1005124.93
N2O,68,2,Absent,Antibiotic,96.29338829
N2O,79,2,Absent,Antibiotic,116.5589302
N2O,38,2,Present,Antibiotic,85.93528449
N2O,69,2,Present,Antibiotic,184.2046015
CH4,64,3,Absent,Antibiotic,2538.242074
CH4,77,3,Absent,Antibiotic,2389.586767
CH4,39,3,Present,Antibiotic,1654.064055
CH4,72,3,Present,Antibiotic,2945.708251
CO2,64,3,Absent,Antibiotic,1374391.471
CO2,77,3,Absent,Antibiotic,1257804.003
CO2,39,3,Present,Antibiotic,1321791.417
CO2,72,3,Present,Antibiotic,1154525.676
N2O,64,3,Absent,Antibiotic,84.124403
N2O,77,3,Absent,Antibiotic,141.188652
N2O,39,3,Present,Antibiotic,201.2519144
N2O,72,3,Present,Antibiotic,269.1324908
CH4,52,4,Absent,Control,2073.984024
CH4,74,4,Absent,Control,2054.756893
CH4,50,4,Present,Control,797.3069628
CH4,54,4,Present,Control,1643.009946
CO2,52,4,Absent,Control,1201921.542
CO2,74,4,Absent,Control,1150748.252
CO2,50,4,Present,Control,1055910.484
CO2,54,4,Present,Control,1308489.527
N2O,52,4,Absent,Control,93.24090437
N2O,74,4,Absent,Control,95.87844484
N2O,50,4,Present,Control,254.0479374
N2O,54,4,Present,Control,572.722957
CH4,49,5,Absent,Control,1070.810802
CH4,59,5,Absent,Control,1208.370681
CH4,53,5,Present,Control,903.8433204
CH4,71,5,Present,Control,986.8329737
CO2,49,5,Absent,Control,1008621.196
CO2,59,5,Absent,Control,935814.0719
CO2,53,5,Present,Control,1098302.265
CO2,71,5,Present,Control,1157054.938
N2O,49,5,Absent,Control,132.2424219
N2O,59,5,Absent,Control,261.4049515
N2O,53,5,Present,Control,126.9637962
N2O,71,5,Present,Control,119.2293337
CH4,55,6,Absent,Control,831.0856076
CH4,61,6,Absent,Control,411.6365882
CH4,56,6,Present,Control,775.4357381
CH4,67,6,Present,Control,774.8479732
CO2,55,6,Absent,Control,1272784.318
CO2,61,6,Absent,Control,957913.5774
CO2,56,6,Present,Control,1410847.046
CO2,67,6,Present,Control,1430488.087
N2O,55,6,Absent,Control,189.2824404
N2O,61,6,Absent,Control,78.32339634
N2O,56,6,Present,Control,448.3983315
N2O,67,6,Present,Control,446.5020224
CH4,41,7,Absent,Antibiotic,1385.468434
CH4,47,7,Absent,Antibiotic,1612.693137
CH4,60,7,Present,Antibiotic,1393.560171
CH4,62,7,Present,Antibiotic,1971.578848
CO2,41,7,Absent,Antibiotic,1139524.555
CO2,47,7,Absent,Antibiotic,984130.7462
CO2,60,7,Present,Antibiotic,1235383.143
CO2,62,7,Present,Antibiotic,1181596.86
N2O,41,7,Absent,Antibiotic,158.631012
N2O,47,7,Absent,Antibiotic,125.1244497
N2O,60,7,Present,Antibiotic,166.7250528
N2O,62,7,Present,Antibiotic,202.2097305
CH4,33,8,Absent,Control,2237.397073
CH4,43,8,Absent,Control,2244.010452
CH4,36,8,Present,Control,1111.869026
CH4,51,8,Present,Control,1652.812605
CO2,33,8,Absent,Control,1052187.407
CO2,43,8,Absent,Control,1650368.925
CO2,36,8,Present,Control,955535.5344
CO2,51,8,Present,Control,1202461.575
N2O,33,8,Absent,Control,49.10653915
N2O,43,8,Absent,Control,-25.27196861
N2O,36,8,Present,Control,342.7246896
N2O,51,8,Present,Control,312.0141662
CH4,32,9,Absent,Control,1241.179095
CH4,46,9,Absent,Control,1197.082138
CH4,42,9,Present,Control,610.7813386
CH4,66,9,Present,Control,1007.371404
CO2,32,9,Absent,Control,961006.9497
CO2,46,9,Absent,Control,1066761.62
CO2,42,9,Present,Control,899966.8392
CO2,66,9,Present,Control,1082778.751
N2O,32,9,Absent,Control,126.1577725
N2O,46,9,Absent,Control,102.7891228
N2O,42,9,Present,Control,148.3952286
N2O,66,9,Present,Control,344.2733751
CH4,65,10,Absent,Antibiotic,2994.867543
CH4,78,10,Absent,Antibiotic,2414.036259
CH4,58,10,Present,Antibiotic,2086.788935
CH4,75,10,Present,Antibiotic,1742.402713
CO2,65,10,Absent,Antibiotic,1267366.8
CO2,78,10,Absent,Antibiotic,1051516.076
CO2,58,10,Present,Antibiotic,1092390.232
CO2,75,10,Present,Antibiotic,1060102.281
N2O,65,10,Absent,Antibiotic,313.2028282
N2O,78,10,Absent,Antibiotic,123.7279757
N2O,58,10,Present,Antibiotic,270.3467245
N2O,75,10,Present,Antibiotic,265.8527155
