Cow,treatment,FluxCO2,FluxCH4,FluxN2O,exp
1,Antibiotic,1002.740292,2.046879904,0.077023449,b
2,Antibiotic,1362.678723,2.70984375,0.175214338,b
3,Antibiotic,1085.180526,1.168944944,0.1389743,b
4,Antibiotic,1353.584363,1.835367122,0.159616317,b
5,Antibiotic,1075.872053,1.997927899,0.096293388,b
6,Antibiotic,1018.622907,2.172214807,0.11655893,b
7,Antibiotic,869.2574452,1.32955108,0.085935284,b
8,Antibiotic,1005.12493,1.624323873,0.184204602,b
9,Antibiotic,1374.391471,2.538242074,84.124403,b
10,Antibiotic,1257.804003,2.389586767,0.141188652,b
11,Antibiotic,1321.791417,1.654064055,0.201251914,b
12,Antibiotic,1154.525676,2.945708251,0.269132491,b
13,Control,1201.921542,2.073984024,0.093240904,b
14,Control,1150.748252,2.054756893,0.095878445,b
15,Control,1055.910484,0.797306963,0.254047937,b
16,Control,1308.489527,1.643009946,0.572722957,b
17,Control,1008.621196,1.070810802,0.132242422,b
18,Control,935.8140719,1.208370681,0.261404952,b
19,Control,1098.302265,0.90384332,0.126963796,b
20,Control,1157.054938,0.986832974,0.119229334,b
21,Control,1272.784318,0.831085608,0.18928244,b
22,Control,957.9135774,0.411636588,0.078323396,b
23,Control,1410.847046,0.775435738,0.448398332,b
24,Control,1430.488087,0.774847973,0.446502022,b
25,Antibiotic,1139.524555,1.385468434,0.158631012,b
26,Antibiotic,984.1307462,1.612693137,0.12512445,b
27,Antibiotic,1235.383143,1.393560171,0.166725053,b
28,Antibiotic,1181.59686,1.971578848,0.202209731,b
29,Control,1052.187407,2.237397073,0.049106539,b
30,Control,1650.368925,2.244010452,-0.025271969,b
31,Control,955.5355344,1.111869026,0.34272469,b
32,Control,1202.461575,1.652812605,0.312014166,b
33,Control,961.0069497,1.241179095,0.126157773,b
34,Control,1066.76162,1.197082138,0.102789123,b
35,Control,899.9668392,0.610781339,0.148395229,b
36,Control,1082.778751,1.007371404,0.344273375,b
37,Antibiotic,1267.3668,2.994867543,0.313202828,b
38,Antibiotic,1051.516076,2.414036259,0.123727976,b
39,Antibiotic,1092.390232,2.086788935,0.270346725,b
40,Antibiotic,1060.102281,1.742402713,0.265852716,b
