Lasiurus cinereus msats																												
npops = 1																												
nloci = 14																												
	LAS4206AC		LAS6266AG		LAS7831AC		LAS8539AC		LAS8830AC		LAS8843AC		LAS8953AC		LAS9084AC		LAS9141AC		LAS9290AC		LAS9524AC		LAS9555AG		LAS9613AC		LAS9618AC	
pop =L.cinereus																												
DNA_1	276	278	?	?	429	435	194	200	265	267	150	154	351	359	448	448	304	310	378	384	386	410	482	484	181	203	?	?
DNA_10	276	276	317	323	401	425	198	200	265	267	156	162	349	353	448	448	302	310	378	382	386	404	480	482	187	189	171	183
DNA_100	278	286	305	323	419	435	198	200	265	267	162	162	349	359	448	448	300	310	382	384	386	392	474	488	189	203	179	179
DNA_101	274	276	305	313	407	419	194	198	265	267	164	166	355	355	448	448	308	310	382	386	386	404	484	484	193	195	159	179
DNA_102	274	276	313	323	413	433	198	200	247	267	154	164	349	357	448	448	310	310	384	388	386	396	482	490	187	189	177	179
DNA_103	274	276	?	?	?	?	?	?	265	265	150	164	?	?	448	448	308	310	380	384	412	424	?	?	191	199	?	?
DNA_104	276	278	323	323	425	431	196	200	269	271	162	164	333	349	448	448	304	308	384	386	394	394	470	486	189	203	175	183
DNA_105	270	274	305	331	421	431	196	202	247	271	154	164	357	357	448	448	300	300	374	388	388	394	476	476	193	201	173	173
DNA_106	276	280	309	315	419	431	184	196	263	267	154	164	359	361	448	448	300	304	368	382	394	394	474	478	187	193	169	173
DNA_107	274	274	315	327	425	427	200	204	247	269	162	164	357	359	448	448	312	318	374	384	386	404	470	482	187	203	173	179
DNA_108	274	274	317	325	419	419	204	208	261	265	162	168	355	359	448	448	300	304	372	376	410	410	472	480	199	205	169	175
DNA_109	274	276	305	305	419	433	200	200	247	263	162	164	351	355	448	448	300	314	382	396	396	410	476	476	185	207	173	179
DNA_11	274	274	311	325	405	407	196	202	263	265	162	164	349	357	448	448	300	314	368	384	386	404	480	502	185	187	167	177
DNA_110	274	276	309	323	421	427	198	200	261	269	164	164	333	359	448	448	310	310	380	388	386	404	480	496	193	193	159	183
DNA_111	274	274	317	325	419	425	200	202	261	265	152	164	357	373	448	448	308	310	368	384	410	410	458	508	193	195	169	183
DNA_112	274	274	?	?	425	425	196	200	263	273	160	162	349	357	448	448	300	302	356	380	400	406	476	476	189	201	?	?
DNA_113	274	276	315	325	419	433	200	204	257	263	162	164	349	353	448	448	300	312	356	382	386	396	480	486	189	191	171	171
DNA_114	274	274	311	317	419	431	194	196	263	273	162	162	349	361	448	448	300	312	356	384	396	400	482	482	191	197	171	173
DNA_115	274	274	325	325	421	435	198	202	273	273	162	164	337	351	448	448	300	302	376	380	394	410	476	486	189	191	177	177
DNA_116	274	286	317	317	419	433	194	198	265	267	164	170	349	357	448	448	300	300	380	382	394	406	480	494	197	199	171	183
DNA_117	274	278	307	309	419	419	196	206	263	267	150	162	351	359	448	448	302	318	380	380	392	410	476	478	189	193	167	175
DNA_118	274	274	321	327	425	425	196	200	263	273	160	162	349	357	448	448	300	302	356	380	400	406	476	476	189	201	173	181
DNA_119	274	274	311	317	429	431	198	200	267	271	162	162	349	349	448	448	306	310	380	382	392	396	478	482	191	193	159	171
DNA_12	274	278	311	329	425	433	196	206	263	265	154	158	355	363	448	448	300	310	358	386	386	394	480	482	185	187	173	175
DNA_120	274	280	?	?	?	?	?	?	261	267	154	164	?	?	448	448	302	312	384	386	392	400	?	?	191	199	?	?
DNA_121	276	282	303	303	427	433	196	204	273	275	164	164	351	359	448	448	306	308	386	386	386	412	476	484	187	191	159	165
DNA_122	276	278	303	329	425	435	194	198	247	269	160	160	359	361	448	448	308	310	382	386	386	404	464	470	197	199	171	173
DNA_123	276	276	295	311	419	425	198	202	263	265	158	162	355	355	448	448	304	312	380	382	386	394	482	482	187	195	173	175
DNA_124	274	278	307	321	415	423	184	200	267	267	164	164	349	355	448	448	302	314	380	386	386	388	470	486	193	193	175	175
DNA_125	276	276	311	325	419	427	200	200	265	265	162	168	349	353	448	448	310	312	384	388	408	414	478	482	199	205	169	175
DNA_126	274	276	305	319	419	425	200	200	267	267	154	156	355	357	448	448	306	312	380	386	388	408	488	488	187	189	169	181
DNA_127	278	280	317	319	409	431	196	200	261	269	156	164	355	373	448	448	306	310	376	384	410	414	476	478	189	197	159	181
DNA_128	274	274	305	329	419	429	200	200	267	269	164	164	357	363	448	448	310	318	380	386	390	410	480	486	185	195	175	175
DNA_129	276	276	307	309	425	431	196	200	263	265	164	164	337	343	448	448	300	310	354	380	394	410	470	476	193	207	159	177
DNA_13	274	276	303	329	415	423	192	200	263	265	158	160	355	359	448	448	300	310	368	384	386	388	460	482	189	195	165	173
DNA_130	274	274	305	309	431	439	196	200	267	267	158	164	355	355	448	448	306	308	366	388	400	414	478	482	195	197	175	175
DNA_131	276	276	315	327	419	431	198	204	267	269	154	164	353	361	448	448	310	310	382	382	386	386	480	484	185	201	173	177
DNA_132	274	276	305	331	423	427	196	200	265	265	162	162	357	359	448	448	300	302	370	382	386	414	472	478	189	193	173	173
DNA_133	274	274	303	323	419	419	184	206	263	265	162	164	355	357	448	448	304	306	384	386	390	412	490	490	199	209	169	169
DNA_134	274	274	303	323	407	419	196	204	261	269	162	164	351	357	448	448	300	304	374	376	388	394	464	474	175	187	161	177
DNA_135	274	276	303	323	421	421	200	204	261	271	154	162	351	355	448	448	310	310	368	384	386	386	464	488	181	191	161	177
DNA_136	276	278	307	317	417	421	196	206	265	271	156	162	355	355	448	448	300	316	374	380	386	386	456	484	191	195	?	?
DNA_137	274	274	305	311	419	427	196	204	261	267	160	164	349	359	448	448	310	314	376	380	386	386	482	486	181	197	159	177
DNA_138	274	274	311	327	419	423	198	198	265	273	160	164	349	361	448	448	302	310	356	384	386	394	478	482	187	199	175	177
DNA_139	274	274	315	317	431	433	198	200	265	267	150	154	355	357	448	448	300	316	386	386	410	412	452	492	191	199	159	179
DNA_14	274	276	311	319	407	437	200	206	249	265	164	164	357	361	448	448	310	310	382	384	416	416	456	482	185	193	165	173
DNA_140	274	276	325	327	431	433	192	196	263	267	156	162	349	359	448	448	300	304	382	382	386	412	464	472	187	199	179	181
DNA_141	274	276	315	319	417	419	198	206	267	271	156	164	349	355	448	448	308	310	372	380	392	416	466	484	185	199	171	175
DNA_142	274	276	325	327	429	449	196	204	267	267	162	164	353	359	448	448	302	316	382	386	386	414	488	488	189	207	165	173
DNA_143	276	276	303	325	407	425	198	208	267	267	160	164	361	361	448	448	302	314	370	382	386	386	466	480	171	199	181	181
DNA_144	274	274	311	313	431	433	198	208	263	265	162	164	355	361	448	448	300	310	378	378	410	412	484	486	191	197	159	175
DNA_145	274	286	313	315	419	419	198	202	247	257	150	164	355	359	448	448	310	316	382	384	386	402	472	474	185	197	173	177
DNA_146	274	274	309	323	429	437	198	204	265	273	162	164	359	359	448	448	302	310	370	388	398	416	486	500	189	191	173	177
DNA_147	274	274	315	325	407	419	196	198	267	273	162	164	357	359	448	448	310	310	374	376	396	410	484	488	197	199	159	175
DNA_148	274	274	309	329	419	427	200	202	261	265	162	164	347	371	448	448	302	310	356	358	386	386	464	482	187	191	167	177
DNA_149	274	276	325	329	425	435	200	200	265	267	160	162	351	355	448	448	306	310	382	382	406	408	478	486	187	189	159	173
DNA_15	274	274	305	307	421	423	196	198	267	267	162	162	351	363	448	448	302	302	366	382	392	412	472	478	191	191	?	?
DNA_150	274	276	317	319	417	423	194	196	267	273	162	164	353	357	448	448	308	310	386	386	386	394	444	468	187	199	159	179
DNA_151	274	278	315	325	425	433	200	202	265	269	162	164	353	359	448	448	306	310	378	384	406	418	482	486	199	199	173	173
DNA_152	274	274	307	311	425	425	202	202	261	271	162	162	353	359	448	448	310	314	356	382	386	394	476	488	193	193	161	169
DNA_153	274	274	311	315	429	433	194	196	267	273	162	164	349	359	448	448	300	304	368	382	404	406	474	480	187	193	171	173
DNA_154	274	274	321	327	419	425	192	198	263	269	150	162	355	363	448	448	302	318	370	376	386	394	470	472	185	213	171	177
DNA_155	274	276	311	313	419	433	198	202	265	267	156	164	353	353	448	448	300	310	368	378	386	400	478	478	187	195	177	179
DNA_156	274	286	311	327	419	433	196	216	247	271	158	160	351	359	448	448	300	310	374	378	392	396	466	480	191	193	171	177
DNA_157	274	276	307	325	419	433	204	212	267	267	154	162	349	357	448	448	308	310	376	384	386	412	480	494	197	199	165	171
DNA_158	274	276	319	321	419	419	200	204	261	265	156	170	353	363	448	448	306	312	370	372	406	410	482	488	189	193	179	179
DNA_159	274	278	305	317	407	429	196	206	259	269	154	164	351	353	448	448	310	312	366	388	394	400	468	536	185	191	171	177
DNA_16	274	274	303	303	419	433	202	204	259	261	162	164	355	355	448	448	308	310	370	384	386	412	474	484	193	205	175	175
DNA_160	274	280	315	325	429	433	194	198	257	259	162	162	361	361	448	448	310	312	356	378	406	410	486	488	193	205	169	173
DNA_161	274	274	303	323	419	419	200	204	265	271	164	164	337	359	448	448	300	318	380	388	398	400	476	516	181	193	159	173
